Brennan Terry,Brennan,Terry,,,,,,
Bresnahan,Bresnahan,Roger,,,1,,,
BrettGeorge,Brett,George,,,1,,,
Brigley T.,Brigley T.,,,,,,,
Brind'AmourRod,Brind'Amour,Rod,,,,,,
Brind'ArmourRod,Brind'Armour,Rod,,,,,,
Brink Alex,Brink Alex,,,,,,,
Brisco Marlin,Brisco,Marlin,,,,,,
BristerBubby,Brister,Bubby,,,,,,
Brochu M.,Brochu M.,,,,,,,
Brock Dieter,Brock,Dieter,,,,,,
BrockLou,Brock,Lou,,,1,,,
Brodeur Martin,Brodeur,Martin,,,1,,,
BrodieJohn,Brodie,John,,,,,1,
BroduerJohn,Broduer,John,,,,,,
Brokaw Gary,Brokaw,Gary,,,,,,
Brooks B.,Brooks B.,,,,,,,
Brooks Reggie,Brooks,Reggie,,,,,,NotreDame
Brooks Tony,Brooks,Tony,,,,,,
Broten,Broten,Neal,,,,,,
Brousseau P.,Brousseau P.,,,,,,,
Brown Andy,Brown,Andy,,,,,,
Brown Charley,Brown,Charley,,,,,,
Brown Charlie,Brown,Charlie,,,,,,
Brown Dean,Brown,Dean,,,,,,
Brown Dee,Brown,Dee,,,,,,
Brown Derek,Brown,Derek,,,,,,
Brown F.,Brown F.,,,,,,,
Brown Jim,Brown,Jim,,,1,,,Syracuse
Brown K.,Brown,Kevin,,,,,,
Brown Tom,Brown,Tom,,,,,,
Browner Jim,Browner,Jim,,,,,,
Browner Ross,Browner,Ross,,,,,,NotreDame
Browning D.,Browning D.,,,,,,,
BrownLarry,Brown,Larry,,,,,,TCU
BrownRosey,Brown,Rosey,,,1,,,MorganState
Brownschidle Jack,Brownschidle,Jack,,,,,,
BrownTim,Brown,Tim,,,1,1,,NotreDame
Bruce Arland,Bruce,Arland,,,,,,
Bruce I.,Bruce,Isaac,,,,,,
Brune Larry,Brune,Larry,,,,,,
Brunell,Brunell,Mark,,,,,,
Brunnell,Brunnell,Mark,,,,,,
Brute P.,Brute P.,,,,,,,
Bruton David,Bruton,David,,,,,,
Bryant Emmette,Bryant,Emmette,,,,,,
Bryant Junior,Bryant,Junior,,,,,,
Bryant K.,Bryant,Kelvin,,,,,,NorthCarolina
Brylin,Brylin,,,,,,,
BryzgalovIlja,BryzgalovIlja,,,,,,,
Buchanan Ed,Buchanan,Ed,,,,,,
BuchananBuck,Buchanan,Buck,,,1,,,GramblingState
Bucher L.,Bucher L.,,,,,,,
Buckner,Buckner,Bill,,,,,,
BucykJohnny,Bucyk,Johnny,,,1,,,
Budja Peter,Budja,Peter,,,,,,
Buggs D.,Buggs,Danny,,,,,,
BulisJan,Bulis,Jan,,,,,,
Buljin V.,Buljin V.,,,,,,,
Bullock,Bullock,,,,,,,
Bumpas,Bumpas,,,,,,,
BunningJim,Bunning,Jim,,,1,,,
Bunting,Bunting,,,,,,,
BuonicontiNick,Buoniconti,Nick,,,1,,,NotreDame
Bure Pavel,Bure,Pavel,,,1,,,
Bure V.,Bure V.,,,,,,,
Burger,Burger,,,,,,,
Burgmeier,Burgmeier,,,,,,,
Burke S.,Burke,Sean,,,,,,
Burks,Burks,Ellis,,,,,,
Burris,Burris,Jeff,,,,,,NotreDame
Burris Henry,Burris,Henry,,,,,,
Burroughs,Burroughs,,,,,,,
Burroughs Ken,Burroughs,Ken,,,,,,
Bush Barbara,Bush,Barbara,,,,,,
Bush George,Bush,George,,,,,,
Bush George W.,Bush,George,W,,,,,Yale
ButkusDick,Butkus,Dick,,,1,,,Illinois
Butler K.,Butler,Kevin,,,,,,Georgia
Butler M.,Butler M.,,,,,,,
Butsayev,Butsayev,,,,,,,
Buzz,Buzz,,,,,,,
Byakin,Byakin,,,,,,,
Byfuglien Dustin,Byfuglien,Dustin,,,,,,
Bykov,Bykov,,,,,,,
Byner,Byner,,,,,,,
Cabana C.,Cabana C.,,,,,,,
Cahoon Ben,Cahoon,Ben,,,,,,
Calhoun Don,Calhoun,Don,,,,,,
Callahan Ryan,Callahan,Ryan,,,,,,
Callander,Callander,,,,,,,
Caloun J.,Caloun J.,,,,,,,
Calvillo Anthony,Calvillo,Anthony,,,,,,
Camarillo,Camarillo,,,,,,,
Cammalleri Mike,Cammalleri,Mike,,,,,,
Campanella,Campanella,Roy,,,1,,,
Campanella Joe,Campanella,Joe,,,,,,
Campbell Darrell,Campbell,Darrell,,,,,,
Campbell Earl,Campbell,Earl,,,1,1,,Texas
Campbell J.,Campbell,Jeff,,,,,,Colorado
Campbell Jason,Campbell,Jason,,,,,,Auburn
Campbell LT Douglas,Campbell,Douglas,,,,,,
Candelaria,Candelaria,John,,,,,,
Candiotti,Candiotti,Tom,,,,,,
Cangelosi,Cangelosi,,,,,,,
Cannon J.,Cannon,Jack,,,,,,NotreDame
CansecoJose,Canseco,Jose,,,,,1,
Canty,Canty,Chris,,,,,,
Capello Jeff,Capello,Jeff,,,,,,
Carano,Carano,,,,,,,
Carbo,Carbo,,,,,,,
Carbonneau,Carbonneau,Gus,,,1,,,
Cardenas,Cardenas,,,,,,,
CarewRod,Carew,Rod,,,1,,,
Carideo,Carideo,,,,,,,
Carkner,Carkner,Terry,,,,,,
Carlesimo,Carlesimo,,,,,,,
Carlson John,Carlson,John,,,,,,
Carney John,Carney,John,,,,,,
Carney K.,Carney K.,,,,,,,
Carpenter Bobby,Carpenter,Bobby,,,,,,
Carr Austin,Carr,Austin,,,,,,
Carroll Matt,Carroll,Matt,,,,,,
Carruth,Carruth,Rae,,,,,,
Carson H.,Carson,Harry,,,1,,,SouthCarolinaState
Carson Howard,Carson,Howard,,,,,,
Carter Anson,Carter,Anson,,,,,,
Carter Anthony,Carter,Anthony,,,,,,Michigan
Carter Chris,Carter,Cris,,,1,,,OhioState
Carter Gary,Carter,Gary,,,1,,,
Carter K.,Carter K.,,,,,,,
Carter P.,Carter P.,,,,,,,
Carter Tom,Carter,Tom,,,,,,
Carthon M.,Carthon,Maurice,,,,,,
Cartwright Rock,Cartwright,Rock,,,,,,
Casanova,Casanova,Tommy,,,,,,LSU
Case G.,Case G.,,,,,,,
Case M.,Case M.,,,,,,,
Cash D.,Cash D.,,,,,,,
CasperDave,Casper,Dave,,,1,,,NotreDame
Cassata,Cassata,,,,,,,
Cassese,Cassese,,,,,,,
Caster,Caster,,,,,,,
Catan P.,Catan P.,,,,,,,
Cates Wes,Cates,Wes,,,,,,
Cattelan,Cattelan,,,,,,,
Cavanaugh M.,Cavanaugh,Matt,,,,,,PennState
Cavarretta,Cavarretta,Phil,,,,,,
Cechmanek,Cechmanek,,,,,,,
Cedeno,Cedeno,Cesar,,,,,,
Celio N.,Celio N.,,,,,,,
Centers,Centers,,,,,,,
Cepeda,Cepeda,Orlando,,,1,,,
Ceppetelli,Ceppetelli,,,,,,,
Cerrato,Cerrato,,,,,,,
ChamberlainWilt,Chamberlain,Wilt,,,1,,,Kansas
Chambers T.,Chambers T.,,,,,,,
