,Martin Jim,,1952,Bowman Large,52,,Detroit Lions,35,18.5,,TRUE,FB,ND,PSA 6,,C,,,
,Musial,Stan,1952,Bowman,196,,St. Louis Cardinals,500,150,,TRUE,BS,,EXMT ET,,C,,,
,Nomellini Leo,,1952,Bowman Large,125,,San Fransisco 49ers,75,22.55,,TRUE,FB,,PSA 6,,C,,,
,Ostrowski Chet,,1952,Bowman Large,124,RC,Notre Dame Fightin' Irish,35,27,,TRUE,FB,ND,PSA 6,WR,C,,,
,Paul Don,,1952,Bowman Large,103,,Chicago Cardinals,20,9.4,,TRUE,FB,,PSA 5,,C,,,
,Pesky,,1952,Bowman,45,,Boston Red Sox,20,6,,TRUE,BS,BRS,PSA 6,,C,,,
,Phelan Jimmy,,1952,Bowman Large,122,RC CO,Dallas Texans,20,15,,TRUE,FB,ND,PSA 5,,C,,,
,Phelan Jimmy,,1952,Bowman Large,122,RC CO,Dallas Texans,50,13.5,,TRUE,FB,ND,PSA  8OC,,C,,,
,Ratterman,,1952,Bowman Large,111,,Cleveland Browns,40,26,,TRUE,FB,ND,PSA 5,,C,,,
,Ratterman,,1952,Bowman Large,111,,Cleveland Browns,80,23.4,,TRUE,FB,ND,PSA 7,,C,,,
,Ratterman,,1952,Bowman Small,111,,Cleveland Browns,60,22,,TRUE,FB,ND,PSA 7,,C,,,
,Scott Vince,,1952,Parkhurst CFL,84,RC,Hamilton Tiger-Cats,60,46,,TRUE,FB,ND,PSA 5,,C,,,
,Weiner Art,,1952,Bowman Large,114,,Dallas Texans,70,19.95,,TRUE,FB,,PSA 7,,C,,,
,Williams Bob,,1952,Bowman Small,133,,Chicago Bears,16,10,,TRUE,FB,ND,PSA 5,,C,,,
,Campanella,,1953,Topps,27,,Brooklyn Dodgers,175,36,,TRUE,BS,,VG ET,,C,,,
,Cavarretta,,1953,Bowman Color,30,,Chicago Cubs,40,5.95,,TRUE,BS,,PSA 5,,C,,,
,Connor George,,1953,Bowman,37,,Chicago Bears,90,44.6,,TRUE,FB,ND,PSA 7,,C,,,
,Ennis Del,,1953,Bowman Color,103,,Philadelphia Phillies,40,9,,TRUE,BS,,PSA 8 OC,,C,,,
