Hamilton Tiger-Cats,Hamilton,Tiger-Cats,Football,CFL
Hartford Whalers,Hartford,Whalers,Hockey,
Hershey Bears (AHL),Hershey,Bears,Hockey,
Houston Aeros,Houston,Aeros,,
Houston Astros,Houston,Astros,Baseball,MLB
Houston Colt 45's,Houston,Colt,,
Houston Gamblers,Houston,Gamblers,Football,USFL
Houston Oilers,Houston,Oilers,Football,NFL
Houston Rockets,Houston,Rockets,Basketball,NBA
Houston Texans,Houston,Texans,Football,NFL
Indiana Pacers,Indiana,Pacers,Basketball,NBA
Indianapolis Colts,Indianapolis,Colts,Football,NFL
Indianapolis Ice (IHL),Indianapolis,Ice,Hockey,
Indianapolis Jets,Indianapolis,Jets,,
Indianapolis Racers,Indianapolis,Racers,,
Jacksonville Bulls,Jacksonville,Bulls,Football,USFL
Jacksonville Jaguars,Jacksonville,Jaguars,Football,NFL
Kamloops Blazers (WHL),Kamloops,Blazers,Hockey,
Kansas City Athletics,Kansas City,Athletics,Baseball,MLB
Kansas City Blades (IHL),Kansas City,Blades,Hockey,
Kansas City Chiefs,Kansas City,Chiefs,Football,NFL
Kansas City Kings,Kansas City,Kings,Basketball,NBA
Kansas City Royals,Kansas City,Royals,Baseball,MLB
Kansas City Scouts (IHL),Kansas City,Scouts,Hockey,
Kansas Jayhawks,Kansas,Jayhawks,Basketball,NCAAB
Kansas Jayhawks,Kansas,Jayhawks,Football,NCAAF
Kansas State Wildcats,Kansas State,Wildcats,Basketball,NCAAB
Kansas State Wildcats,Kansas State,Wildcats,Football,NCAAF
KC-Omaha Kings,KC-Omaha,Kings,,
Kentucky Colonels,Kentucky,Colonels,Basketball,ABA
Kentucky Thoroughblades (AHL),Kentucky,Thoroughblades,Hockey,
Kingston Frontenacs (OHL),Kingston,Frontenacs,Hockey,
Kitchener Rangers (OHL),Kitchener,Rangers,Hockey,
Kitchner Rangers (OHL),Kitchner,Rangers,Hockey,
Knoxville Cherokees (ECHL),Knoxville,Cherokees,Hockey,
Las Vegas Posse,Las,Vegas,,
Las Vegas Thunder (IHL),Las,Vegas,Hockey,
Las Vegas Wranglers (ECHL),Las,Vegas,Hockey,
London Knights (CHL),London,Knights,Hockey,
Los Angeles Chargers,Los Angeles,Chargers,Football,NFL
Los Angeles Clippers,Los Angeles,Clippers,Basketball,NBA
Los Angeles Dodgers,Los Angeles,Dodgers,Baseball,MLB
Los Angeles Express,Los Angeles,Express,Football,USFL
Los Angeles Kings,Los Angeles,Kings,Hockey,NHL
Los Angeles Lakers,Los Angeles,Lakers,Basketball,NBA
Los Angeles Raiders,Los Angeles,Raiders,Football,NFL
Los Angeles Rams,Los Angeles,Rams,Football,NFL
Louisiana State Tigers,LSU,Tigers,Basketball,NCAAB
Louisiana State Tigers,LSU,Tigers,Football,NCAAF
Louisville Panthers (AHL),Louisville,Panthers,Hockey,
Medicine Hat Tigers (WHL),Medicine Hat,Tigers,Hockey,
Memphis Showboats,Memphis,Showboats,Football,USFL
Memphis Sounds,Memphis,Sounds,,
Miami Dolphins,Miami,Dolphins,Football,NFL
Miami Heat,Miami,Heat,Basketball,NBA
Miami Hurricanes,Miami,Hurricanes,Basketball,NCAAB
Miami Hurricanes,Miami,Hurricanes,Football,NCAAF
Miami Red Hawks (CCHA),Miami,Red Hawks,,
Michigan Panthers,Michigan,Panthers,Football,USFL
Michigan Stags,Michigan,Stags,,
Michigan Wolverines,Michigan,Wolverines,Basketball,NCAAB
Michigan Wolverines,Michigan,Wolverines,Football,NCAAF
Milwaukee Admirals (AHL),Milwaukee,Admirals,Hockey,
Milwaukee Admirals (IHL),Milwaukee,Admirals,Hockey,
Milwaukee Braves,Milwaukee,Braves,Baseball,MLB
Milwaukee Brewers,Milwaukee,Brewers,Baseball,MLB
Milwaukee Bucks,Milwaukee,Bucks,Basketball,NBA
Minneapolas Lakers,Minneapolas,Lakers,Basketball,NBA
Minnesota Gophers (WCHA),Minnesota,Gophers,Basketball,NCAAB
Minnesota Gophers (WCHA),Minnesota,Gophers,Football,NCAAF
Minnesota Moose (IHL),Minnesota,Moose,Hockey,
Minnesota North Stars,Minnesota,North Stars,Hockey,NHL
Minnesota Timberwolves,Minnesota,Timberwolves,Basketball,NBA
Minnesota Twins,Minnesota,Twins,Baseball,MLB
Minnesota Vikings,Minnesota,Vikings,Football,NFL
Minnesota Wild,Minnesota,Wild,Hockey,NHL
Mississauga Ice Dogs (OHL) (OHL),Mississauga,Ice Dogs,Hockey,
Moncton Hawks (AHL),Moncton,Hawks,Hockey,
Montreal Alouettes,Montreal,Alouettes,Football,CFL
Montreal Canadiens,Montreal,Canadiens,Hockey,NHL
Montreal Concordes,Montreal,Concordes,,
Montreal Expos,Montreal,Expos,Baseball,MLB
Moose Jaw Warriors (WHL),Moose Jaw,Warriors,Hockey,
Muskegon Lumberjacks (IHL),Muskegon,Lumberjacks,Hockey,
Nashville Preadators,Nashville,Preadators,Hockey,NHL
Navy Midshipmen,Navy,Midshipmen,Basketball,NCAAB
Navy Midshipmen,Navy,Midshipmen,Football,NCAAF
New England Patriots,New England,Patriots,Football,NFL
New England Whalers,New England,Whalers,Hockey,NHL
New Jersey Devils,New Jersey,Devils,Hockey,NHL
New Jersey Generals,New Jersey,Generals,Football,USFL
New Orleans Breakers,New Orleans,Breakers,Football,USFL
New Orleans Jazz,New Orleans,Jazz,Basketball,NBA
New Orleans Saints,New Orleans,Saints,Football,NFL
New York Giants,New York,Giants,Football,NFL
New York Islanders,New York,Islanders,Hockey,NHL
New York Jets,New York,Jets,Football,NFL
New York Knicks,New York,Knicks,Basketball,NBA
New York Mets,New York,Mets,Baseball,MLB
New York Nets,New York,Nets,Basketball,NBA
New York Rangers,New York,Rangers,Hockey,NHL
New York Titans,New York,Titans,Football,NFL
New York Yankees,New York,Yankees,Baseball,MLB
New York Yanks,New York,Yanks,Football,NFL
New York-New Jersey Knights,New York,Knights,,
Newmarket Saints (AHL),Newmarket,Saints,Hockey,
Niagara Falls Thunder (OHL),Niagara Falls,Thunder,Hockey,
North Bay Centennials (OHL),North Bay,Centennials,Hockey,
North Carolina State Wolfpack,NC State,Wolf Pack,Basketball,NCAAB
North Carolina State Wolfpack,NC State,Wolf Pack,Football,NCAAF
North Dakota Fighting Sioux (WCHA),North Dakota,Fighting Sioux,Basketball,NCAAB
North Dakota Fighting Sioux (WCHA),North Dakota,Fighting Sioux,Football,NCAAF
Notre Dame Fightin' Irish,Notre Dame,Fighting Irish,Basketball,NCAAB
Notre Dame Fightin' Irish,Notre Dame,Fighting Irish,Football,NCAAF
Oakland Athletics,Oakland,Athletics,Baseball,MLB
Oakland Invaders,Oakland,Invaders,Football,USFL
Oakland Raiders,Oakland,Raiders,Football,NFL
